Title,Categories,Servings,Ingredients,Generated Recipe - Baseline 1,Generated Recipe - Baseline 2,Generated Recipe - Extended 1,Generated Recipe - Extended 2
daves apple crisp sugar free,"fruit	pie/tart	desserts",20 servings,"10 c  sliced apples	-cornstarch	5 ts cinnamon	1 c  brown sugar substitute	2    to 3  tablespoons	1 c  graham cracker crumbs	1/2 c  brown sugar substitute	2 tb cinnamon	1/2 c  melted margarine",,,,
oven cheese chowder,"soup/stew	cheese/eggs",10 servings,"1/2 lb zucchini, cut into 1 inch	2 ts salt chunks                           1/4 ts pepper	2 md onions, chopped	1 ea clove garlic, minced	1 cn garbanzo beans, rinsed and	1 ts dried basil drained (15 oz.)                   1 ea bay leaf	1 cn diced tomatoes with liquid	1 c  monterey jack cheese (14 1/2 oz.)                       1 c  grated romano cheese	1 cn mexican style corn, drained	1 1/2 c  half and half cream (11 oz.)                                additional monterey jack	1 cn chicken broth (14 1/2 oz.)	-cheese (optional)",,,,
bulgur celery sage,nuts/grains,4 servings,"2 ts olive oil	1/2 ts dried thyme	1 sm onion(s), chopped	1/2 ts dried marjoram	2    stalks celery, chopped	1 3/4 c  beef stock	2    garlic clove(s), minced	1    bay leaf	1 c  bulgur	1 tb parsley, chopped	1/2 ts dried rubbed sage	salt and pepper to taste",,,,
miniature spring rolls,"appetizers	chinese",24 servings,"3    dried black mushrooms	sliced	2 oz dried bean thread noodles	3    green onion -- sliced	1 sm carrot -- julienned	1/2 lb boneless skinless chicken	1 c  napa cabbage -- thinly	breasts	2 tb chicken broth	1/4 ts chinese five spice	1 tb oyster sauce	1 tb oil -- for frying	1/2 ts sesame oil	12    spring roll wrappers	2 ts cornstarch	oil -- for deep frying",,,,
orzo chicken broccoli,"poultry	main dish",4 servings,"4 fl boneless chicken breast or	2 c  chicken stock, low sodium	thigh, cut into 1"" cubes	1/4 c  lemon juice	3 ts old bay seasoning	2 tb cornstarch	1 lb orzo pasta	1 ts oregano, dried	1 lb broccoli florets and stems	1/4 ts crushed red pepper	3    cloves garlic, minced	fresh ground black pepper",,,,
wasabi mayonnaise,"dress/stuff	japanese	pasta/rice	masterchefs",6 servings,"3    egg yolks	2 tb dijon mustard	1/2 ts salt	6 tb wasabi powder, mixed with a	i tablespoon lemon juice	-little water to make a	3 tb japanese rice vinegar or	-paste white wine vinegar               500 ml vegetable oil	2 tb soya sauce",,,,
oyster forcemeat stuffing,"dress/stuff	holiday	masterchefs",1 servings,"3 1/2 ea (92g) stale bread	1 ea egg-yolk	3 1/2 oz (100ml) milk	1 ts chopped parsley	12 ea shelled oysters, reserve	1 ea soak the bread in milk with juice                                   -a little water, then	1 3/4 ea (50g) butter	-squeeze dry.	g  rind of 1/2 lemon	2 ea put it into a saucepan and f ground mace                           -gradually add the oyster	1 pn of cayenne	-juice over a	salt",,,,
chicken broccoli,"poultry	cheese/eggs	guestchefs",4 servings,"1    chicken, boned	1/2 lb mushrooms, fresh sliced	2 lb broccoli, frozen, steamed	1 lb velveta cheese",,,,
lemon-oregano chicken,"poultry	main dish",1 servings,"1 1/2 lb meaty chicken pieces,	1 tb snipped fresh oregano or 1 skinned (up to 2 pounds)                -teaspoon dried	1/4 ts salt	-oregano, crushed	1/8 ts ground black pepper	1/8 ts ground red pepper	1    clove garlic, minced	1/4 c  dry white wine or chicken	1    lemon, thinly sliced,	-broth divided                            1 md green sweet pepper, cut into	1 lg tomato, peeled and chopped,	-strips divided                            1 md red sweet pepper, cut into	1/2 c  pitted ripe olives	-strips	1/4 c  chopped onion	-fresh oregano sprigs	1/4 c  snipped fresh parsley	-(optional)",,,,
caribou soup,"soup/stew	game",8 servings,"1 lb caribou	4    small potatoes, quartered	oil; for browning meat	1    carrot; peeled and sliced	8 c  water or stock	1    parsnip: peeled and diced	2    bay leaves	1/2 c  turnip; peeled and diced	4    juniper berries	1/2 c  cabbage; shredded	2    cloves	2    celery ribs; chopped	1/2 c  white wine	2 md banana peppers, chopped	1 tb worcestershire sauce	1/2 c  green peas",,,,
variety coleslaw,"salads	low cal/fat",4 servings,"2 c  shredded cabbage	choice of one	1 md carrot, chopped or grated	1/2    apple, chopped or reen pepper, chopped             1/3 c  drained, unsw. pineapple ch	1/4 c  boiled dressing, diet	2 tb raisins	2 tb plain yogurt",,,,
baked clams,"main dish	fish/seafoo	appetizers	microwave",4 servings,"12    cherrystone clams	1    egg, slightly beaten	2 tb butter or margarine	1/4 c  seasoned bread crumbs	1/4 c  finely chopped onion	1/8 ts dried oregano leaves	1    clove garlic, peeled	1/3 c  seasoned dry bread crumbs and crushed                        2 tb butter or margarine, melted",,,,
minted peas,vegetables,6 servings,30 oz (3 pkg.) frozen green peas,,,,
deep-dish rhubarb-strawberry pie,"pies	fruits",8 servings,"3/4 c  sugar	1/3 c  flour, sifted	1 ts ground cinnamon	1/2 ts ground cloves	1 lb fresh rhubarb	1 pt strawberries	2 tb butter or margarine	flaky pastry ii (or 1/2 package pie crust mix)	milk or cream	sugar	1 1/2 c  flour, sifted	1 ts salt	1/2 c  vegetable shortening	4 tb ;water, cold, approx",,,,
deep-dish turkey pot pie,casseroles,6 servings,"2 1/4 c  chicken broth, defatted	1/2 c  chopped celery	1/4 c  chopped onions	2 md carrots, coarsely chopped	3 tb cornstarch	1 3/4 c  evaporated skim milk	3 c  cooked, chopped turkey breast	1 c  frozen peas, thawed	1/4 c  snipped fresh parsley	1/2 ts dried sage	3    sheets phyllo dough",,,,
deep-fried tofu peanut sauce,"appetizers	thai	snacks	tofu	vegetarian",6 servings,"1 lb tofu, pressed	2 ea garlic cloves, chopped	1 ea cilantro root, chopped	3 ea dried red chilies, soaked & - chopped, seeded	1/2 ts salt	3/4 c  rice vinegar	1/4 c  sugar	1/2 c  peanuts, finely chopped	2 c  peanut -=or=- vegetable oil	2 ts cilantro leaves, chopped	2 ts red pepper flakes",,,,
dessert blueberries in armagnac syrup,"canning	desserts	fruits	harned 1994	sauces",3 pints,"2 pt baskets ripe blueberries	6    to 9 tb. armagnac - or to taste	3 c  ;water	2 1/4 c  sugar",,,,
diabetic sweetner-sugar equivalents,diabetic,1 servings,equivalents,,,,
dilled salmon salad,"miamiherald	fish	salads",6 servings,"1 c  plain nonfat yogurt	2 tb finely chopped fresh dill	1 tb red wine vinegar	salt and freshly ground pepper	1    2-lb salmon fillet(1"" thick) cleaned of skin and sinew	1 tb canola oil	1/2 ts salt	1/2 ts freshly ground pepper	1 md cucumber	curly leaf lettuce	4    ripe tomatoes; finely sliced	2 md red onions; peeled and sliced thinly and separated into rings	1    lemon; halved lengthwise and thinly sliced",,,,
divine hollandaise,"sauces	ceideburg 2",1 servings,"1/2 ts saffron threads	3 lg egg yolks	1 c  unsalted buffer, in pieces (225g)	2 tb lemon juice	1 tb hot water",,,,
dixieland frycakes,none,4 servings,"1 1/2 c  boiling water	1 1/3 c  grits	2 tb golden syrup, honey or light molasses	1 tb butter	3/4 c  milk	2/3 c  all purpose flour	4 ts baking powder	3/4 ts salt	1/4 c  vegetable oil	1 c  golden syrup, honey or light molasses",,,,
dorothys easy do butter cookies,"cookies	desserts	holiday",4 dozen,"2 1/3 c  all purpose flour	1 c  powdered sugar	1 c  soft butter	1 l  egg	1 1/2 ts vanilla	1/2 ts salt",,,,
dovi peanut butter stew,"african	stews",4 servings,"stephen ceideburg	2 tb butter	2 md onions, finely chopped	2    garlic cloves, finely sliced an crushed	1 ts salt	1/2 ts pepper	1    chile pepper, seeded, minced	1    chicken, cut in serving pieces	2    green bell peppers, cored, seeded, chopped	3    to 4 tomatoes, cored, coarser chopped	2 c  water	6 tb smooth peanut butter	1/2 lb spinach",,,,
drunken apple/pumpkin pie,"fruits	harned 1994	nuts	pies",serves 6 to 8.,"2    eggs	3/4 c  brown sugar; firmly packed	1    9-inch pie shell; unbaked	1 c  cooked pumpkin - mashed and drained	1 c  applesauce; thick & chunky	1 tb flour	1/2 ts salt	1 ts each cinnamon and ginger	1/4 ts nutmeg	1/8 ts each allspice and cloves	1 1/2 c  half-and-half or vaporated milk	1 ts vanilla	1 c  pecan halves	2 tb rum",,,,
tangy corn,"vegetables	country wom",6 servings,"1 cn corn, whole kernel, canned	1 cn corn -- cream-style 15 oz	16 oz drained	3 tb barbecue sauce -- bottled",,,,
baked cranberry pudding,"desserts	tasteofhome	puddings",1 servings,"1 c  packed brown sugar	1 ts baking powder	2    eggs -- separated	1/2 ts cream of tartar -- divided	1/2 c  whipping cream	1/8 ts salt	2 ts vanilla extract	3 c  cranberries -- coarsely	1 ts ground cinnamon	chopped	1/2 ts ground nutmeg	1/4 c  butter or margarine --	1 1/2 c  all-purpose flour	melted	3 tb grated orange peel	1 1/2 c  sugar	sweetened whipped cream, range juice                             optional	2 1/2 c  whole cranberries",,,,
layered banana pudding,"desserts	tasteofhome",1 servings,"1/3 c  all-purpose flour	1 ts vanilla extract	2/3 c  packed brown sugar	1 c  heavy cream -- whipped	2 c  milk	6 ea bananas -- firm sliced	2 ea egg yolks -- beaten	chopped walnuts, optional	2 tb butter or margarine",,,,
llme cream dessert,"desserts	tasteofhome",1 servings,"1 ea egg -- beaten	1 ts lime peel -- grated	1/4 c  sugar	2 dr green food coloring	1/4 c  butter or margarine	2/3 c  whipped cream	1/4 c  lime juice",,,,
mock pasta alfredo,"pasta/rice	tasteofhome",1 servings,"1 1/2 c  1% cottage cheese	1/2 ts dry mustard	1/2 c  skim milk	1/2 ts pepper	2 ea garlic cloves -- minced	1/4 ts salt -- optional	2 tb all-purpose flour	8 oz corkscrew noodles --	1 tb lemon juice	cooked/drained	1 ts dried basil	2 ea tomatoes -- seeded/chopped",,,,
qulck italian salad,"salads	tasteofhome",1 servings,"salad greens	1 ea garlic clove -- minced	sliced tomatoes, zucchini,	2 tb fresh parsley -- minced	mushrooms and green  pepper	1 tb parmesan cheese -- grated	or vegetables of your	1 1/2 ts dried basil	choice	1 ts dried oregano	1 c  vegetable oil	1/2 ts pepper	1/2 c  white wine vinegar",,,,
raspberry baked apples,"desserts	tasteofhome",1 servings,"1/2 c  sugar	3 c  fresh raspberries	1 tb quick-cooking tapioca	6 md tart apples -- quartered	1/3 c  water	cream",,,,
sauerkraut hot dog,"sandwich	tasteofhome",12 servings,"1 cn sauerkraut -- 15 oz.	1 tb mustard -- prepared	rinsed and drained	1/2 ts caraway seed	1/4 c  sweet pickle relish	12 ea hot dogs, beef	2 tb brown sugar",,,,
carrot nut cheese,vegetarian,1 servings,"1    recipe nut cheese	1 tb yeast paste, optional	1/3 c  cooked carrots",,,,
coconut macaroons i,cake/cookie,1 servings,"2 c  shredded sweetened coconut	4 ea egg whites, room temperature	1/2 c  sugar	1/4 ts salt	1 ts coconut extract	pn cream of tartar",,,,
orange hollandaise sauce,"french	fish/seafoo",4 servings,"12    egg yolks	1 pn salt -- to taste	1 lb clarified butter -- at	1 pn black pepper -- to taste	120    degrees	1/8 c  fresh orange juice",,,,
freezing greens,vegetables,1 servings,"1 lb to 1-1/2 lb greens	-makes 1 pint	mustard and turnip	1 lb to 1-1/2 lb; makes 1 pint",,,,
freezer dumplings,side dish,3 servings,"3 c  flour	1    egg	1 1/4    sticks of margarine	1 ts salt	1/2 c  milk",,,,
your basic pumpkin pie,"desserts	pie/tart	vegetables	holiday",6 servings,no ingredients found,,,,
the diamonds cheese ball,"cheese/eggs	route 66	appetizers",1 servings,"2 c  cheddar cheese -- grated	2 tb worcestershire sauce	16 oz cream cheese -- softened	1 ts salt	1 c  blue cheese -- crumbled	pecans -- chopped	1/2 c  onion -- finely chopped",,,,
blue castle escalloped turkey,"main dish	poultry	route 66",8 servings,"8 c  cooked turkey -- diced	4 tb flour	1/2 c  butter -- melted	2 c  milk	2    chicken bouillon cubes	1/2 c  buttered bread crumbs	1/2 ts salt",,,,
canning celery tomato combination,"can/preserv	vegetables",1 servings,"2 1/2 lb to 3-1/2 lb tomatoes	1 1/2 lb to 2-1/2 lb celery makes 1 quart                           -makes 1 quart",,,,
peanut butter-molasses bread,"breadmaker	breads",1 servings,"2 c  whole-wheat flour	2 tb peanut butter	1 tb wheat gluten	2 tb unsulfured molasses	3/4 ts yeast	3/4 c  water	1/2 ts sea salt	3 c  whole-wheat flour	3 tb peanut butter	1 1/2 tb wheat gluten	3 tb unsulfured molasses	1 1/8 ts yeast	1 c  (+ 2 tbs) water	3/4 ts sea salt",,,,
one two three,"casseroles	main dish	meats",4 servings,"1 lb ground beef	1 cn tomato soup; undiluted	1 ea sm cabbage	1 x  salt & pepper; to taste",,,,
potato boats,vegetables,4 servings,"2 lg potatoes, idaho or russet	1 ts sea salt *1	1 lb banana squash	sweet hungarian paprika	1/4 c  butter, melted	2 tb butter, melted	1/4 ts cumin (optional)",,,,
roasting red bell peppers,"vegetables	information",1 textfile,4 lg red bell peppers,,,,
cowboy rice salad,"salads	nuts/grains	meats",6 servings,"1 sm onion; diced	1/2 c  red bell pepper; diced	1 tb olive oil	3/4 c  baby lima beans; cooked	1 c  rice; long-grain, uncooked	3/4 c  red kidney beans; cooked	1/4 ts chili powder	1    chicken breast; cooked &	1/8 ts turmeric	.  shredded	cinnamon stick; 1/2-inch	1 sm smoked spicy sausage (turkey	3 1/2 c  chicken broth; defatted	.  or cajun); cut into small	salt & pepper to taste	.  pieces   (optional)	2 ts lime zest; grated	2 tb cilantro or parsley; chopped	1/2 lb sugar snap peas; blanched	6    lime wedges for garnish",,,,
chicken chic peas apricots,"main dish	poultry",4 servings,"4 lg chicken breasts each cut	2    cloves of garlic crushed. into three pieces.               100 g  4 oz dried no soak apricots	1    dried red chili.	150 ml 0,25 pt water.	1 sm cinnamon stick.	10 ml 2 tsp sunflower oil.	5 ml 1 tsp cumin seeds.	1 lg onion peeled and chopped.	4    green cardamom pods.	15 ml 1 tbsp tomato pure.	8    cloves	15 ml 1 tbsp white malt vinegar.	25    cm 1 inch piece fresh root	10 ml 2 tsp sugar. ginger peeled and finely         400 g  14 oz canned chic peas chopped                                 -drained",,,,
sharons killer kahlua,beverages,3 fifths,"4 c  water	2 oz pure vanilla extract	4 c  sugar	1    monarch 151 rum  (fifth)	4 oz jar instant coffee",,,,
chick-pea crunchies,"snacks	low cal/fat",1 1/4 cups,"2 c  cooked chickpeas	1/2    black pepper drained well, blotted dry        1/2 ts ground cumin	1 tb extra-virgin olive oil	1/2 ts ground coriander	1/2 ts salt,	1/4 ts cayenne pepper",,,,
apple fig chutney,"condiments	low cal/fat",4 cups,"2 1/2 c  dried figs	1    cinnamon stick	1 c  raisins	1/2 ts grated lemon zest	2 c  hot apple cider	1 c  brown sugar	1 lg apple or pear	1 c  cider vinegar cored and finely chopped           2 tb candied ginger	2 tb lemon juice	-finely chopped	6    cloves	1    garlic clove(s), minced	6    allspice berries	1 tb chili powder	6    blades of mace or	salt, black pepper	1/4 ts grated nutmeg	-and cayenne pepper",,,,
peach cake pudding,"puddings	cake/cookie	fruit	herbs/spice",6 servings,"8 c  thickly sliced peaches,	2 tb orange juice peeled and cored                 1/2 ts nutmeg	2 tb white sugar	1/2 c  butter, softened	2/3 c  flour	1/2 c  white sugar	1 ts baking powder	2    eggs	1 pn salt	1 ts grated orange rind	1/3 c  milk	1 ts vanilla",,,,
ghoul-ade over gopher guts halloween,"holiday	beverages	kids",6 servings,"3 oz jello -- red (any flavor)	1 c  sugar	2 c  lemon juice -- bottled	green food coloring	7 c  water",,,,
shrimp chile bisque sl,"side dish	soup/stew	fish/seafoo",2 quarts.,"2 cn (10-3/4 oz) cream of shrimp	1/4 ts seasoned salt soup; undiluted                  1/4 ts ground white pepper	3 c  milk	1/2 ts beau monde seasoning (opt'l)	1/2 pk (16-oz) loaf mild mexican-	1 pk (5-oz) frozen cooked small style process cheese spread             -shrimp cubed                                   garnishes: sweet red pepper	1 cn (14-oz) artichoke hearts;	-slices, fresh parsley drained and chopped                     -sprigs",,,,
smoked trout curry,"fish/seafoo	bbq/grill",6 servings,"1 lb hot smoked lake trout	3 c  cooked rice	1/4 c  onion; chopped	condiments:	3 tb butter or oil	chopped green pepper	3 tb flour	chopped canton ginger	1 1/2 ts curry powder	chopped tomatoes	1/4 ts salt	chopped onions	1/4 ts ginger	toasted shredded coconut	pepper	sieved hard cooked eggs	2 c  milk	chopped nuts",,,,
poinsettia pie,"pies	holidays",1 pie,"2 c  chocolate wafer crumbs	6 tb butter or margarine melted	1/8 ts peppermint extract (opt)	3/4 c  sugar, divided	1    env unflavored gelatin	1/3 c  cold water	3    eggs, separated	1/3 c  creme de menthe	1/2 c  whipping cream, whipped	chocolate leaves	1    round yellow candy	3/4 c  white chocolate baking bars or confectionery coating, coarsely chopped	red food coloring	shortening	3/4 c  semisweet chocolate, coarsely chopped	pastry brush	6 md (or 8) lemon leaves",,,,
popcorn drops,"cookies	low-cal",6 servings,"2 c  unsalted popped corn	3    egg whites	1/2 ts baking powder	1/4 ts salt	1/4 ts cream of tartar	2 tb granulated sugar replacement",,,,
pork chop rose,"main dish	red wine",2 servings,"4    pork blade,rib or loin chops	1    small onion,thinly sliced	grated peel of large orange	2 tb brown sugar	1    small orange,thinly sliced	1 ts salt	1/2 c  rose wine	juice of large orange	1/4 ts ground allspice",,,,
pork chops cherry sauce,"pork	russian",6 servings,"6    pork chops, loin; abt 1/2"" thick	salt; to taste	pepper; to taste	bread crumbs, dry	oil; for frying	;water	1 c  sour cherries; pitted & pureed	sugar; to taste	1/2 ts cinnamon, ground	1/2 ts cloves, ground	1 ts lemon rind; grated	1 tb honey	1/2 tb madeira",,,,
pork roast,none,6 servings,"3 lb pork roast	1 pk knorrs onion soup mix	1 c  white wine	2    bags or carrots peeled and cut into 2"" pieces	7    potatoes peeled and cut into 2"" cubes	1    carrot finely chopped	1    celery stalk finely chopped	1/2    green pepper finely chopped	1 sm onion finely chopped	3    cloves garlic	1 ts dry mustang	1/2 ts cayanne pepper	salt and pepper	butter",,,,
pork cumin,"mexican	meats	pork	main dish	vegetables",7 servings,"2 lb pork shoulder; boneless, 	1/4 c  unbleached flour	1/2 c  vegetable oil	1/2 c  onion; chopped, 1 medium	2    bacon; slices, cut up	1/2 c  water	2 tb orange juice	2 tb lime juice	2 tb chicken bouillon; (dry)	2 tb cumin seed	1 ts oregano leaves; dried	1/2 ts salt	1/4 ts pepper	4 c  tomatoes; chopped, 4 medium	2 c  potatoes; diced 	1/2 c  dairy sour cream",,,,
positanos penne contandino,"restaurants	dkuhnen msn",4 servings,"1 lb penne rigate	1/3 c  olive oil	2 md zucchini, thinly sliced	1 md onion, finely chopped	1/2 c  finely chopped fresh basil	salt and pepper	1/3 lb goat cheese	1/2 c  grated italian parmesan	cheese",,,,
potato bowls,"cooking	live",6 potato bowl,3 lg russet potatoes,,,,
potato devils food cake,cakes,6 servings,"1/4 c  shortening	2 1/4    squares unsweetened chocolate	1    egg	6 tb evaporated milk	2 ts baking powder	1 ts vanilla	1 c  sugar	1/2 c  mashed potatoes	1/4 ts salt	1 1/4 c  flour	1/2 c  chopped nuts",,,,
potato kugel bread,"breadmaker	breads",6 servings,"3/4 c  mashed potatoes 	3/4 c  potato water	2 1/4 tb vegetable oil	3/4 ts salt	1 tb sugar	3 c  bread flour	1 1/2 ts yeast	2 ts wheat germ",,,,
potato pancakeslatkes,"panckes	jewish	potato	side-dishes",100 servings,"4    very large potatoes	1    egg	1 tb salt	1 ds pepper	1 tb flour	2 ts grated onion	1/2 ts baking powder",,,,
piemento cheese,"appetizers	cheese",12 servings,"2 lb velveeta cheese	8 oz chopped piemento (4oz jars)	1 c  mayonnaise	1 ts ground black pepper	1/2 ts ground red pepper",,,,
pikelets bakestone recipes,"breads	breakfast",8 servings,"8 oz plain or unbleached flour	1 ts salt	1/2 oz fresh yeast	1 ts sugar	5 fl warm water	1 ts butter	5 fl warm milk	1    egg, beaten",,,,
pine bark stew,"wildgame	fish",1 servings,"2 lb grouper fillets	6    bacon slices, cut small	1 c  onion, finely chopped	3 c  potatoes, diced	24 oz tomatoes, can	2 ts salt	1/4 lb butter	2 tb worcestershire sauce	1/2    catsup, bottle	1/2 c  chili sauce	1/2 ts pepper	1/2 ts thyme	1/2 ts basil",,,,
pineapple pork roast,"main	dish",8-10 servings.,"1 sm onion, sliced	1/4 c  celery sliced	1/4 c  sliced carrots	1    3 pound rolled boneless pork roast	salt and pepper	1 sm bay leaf, crumbled	1/2 c  pineapple juice	1/4 c  soy sauce	1/4 c  apricot preserves	1 ts cornstarch",,,,
pineapple snow  custard sauce,"diabetic	desserts	sauces	low-fat/cal",8 servings,"1 tb unflavored gelatin (1 pkg)	2 tb sugar	1/8 ts salt	1/2 c  water	1 1/2 c  unsweetened pineapple juice	2    egg whites	custard sauce, optional	2    eggs, slightly beaten	2 tb sugar	1/4 ts salt	1 1/2 c  skim milk	1 ts vanilla",,,,
pink dream,beverages,1 servings,"3/4 oz white creme de cacao	3/4 oz vodka	3 oz raspberry sherbet	3 oz vanilla ice cream	3 oz ice",,,,
pinto bean bread,breads,2 servings,"2 c  milk-lukewarm	2 pk dry yeast	2 c  cooked, mashed, unseasoned	pinto beans	2 tb sugar	2 ts salt	2 tb shortening	5 c  flour <5-6c>",,,,
piquant thai dipping sauce,"sauces	low-fat	thai",4 servings,"1/4 c  tomato sauce	3 tb lime juice	2 tb light brown sugar	1/4 ts chinese chili sauce	1    garlic clove,minced	2 ts fresh mint leaves,coarsely chopped	1 ts lime peel,grated or minced	1 tb cornstarch mixed with	1 tb cold water",,,,
pitkin county pork chops,meats,6 servings,"2 tb butter	1/2 c  chopped onion	3    cloves garlic, minced	1 ts salt	1/4 c  prepared mustard	1/4 ts cayenne pepper	2 tb cider vinegar	2 tb packed light brown sugar	2 tb worcestershire sauce	6    pork chops 1-1/2 inches thic	3/4 c  ketchup	1/2 c  chili sauce	1/3 c  water",,,,
pizza hat crust,"pizza	pastry	cake mix",2 servings,"van geffen vghc42a	2 pk dry yeast	2/3 c  warm water	2 ts sugar	2 c  cold water	3 tb corn oil	2 tb sugar	1/4 ts garlic salt	1 ts salt	1/2 ts dry oregano leaves	6 1/2 c  all-purpose flour -- (6 1/2	to 7)",,,,
pizza meat pie,"main dish	easy	meat",4 servings,"1 lb lean ground beef	1/2 c  rolled oats	1/2 ts salt	1/4 ts pepper	1 cl garlic crushed or 1/8 tsp minced garlic	1 c  water	1 c  mozzarella cheese	3/4 c  tomato paste	3/4    can mushrooms	1 ts oregano	1 ts grated onion or minced onion	1/3 c  parmesan cheese",,,,
pizza rice crust,pizza,4,"1 tb oil	1    onion, small, sliced	1    garlic, minced	1 c  mushrooms, sliced	1    green or red pepper	2 c  white rice, cooked	1    egg, beaten	2 1/2 c  part-skim mozzarella	1/2 c  tomato sauce	1/2 ts basil, dried	1/4 ts oregano, dried	1    black pepper, freshly ground	1 ds tabasco sauce	seed the green or red pepper and cut into strips.",,,,
sauteed cabbage  leeks,"side dish	christmas	vegetables",6 servings,"1 tb garlic oil	1/2 lg head red cabbage, chopped	3 ea leeks, white parts alone, - cleaned & sliced	1 ts thyme",,,,
sauteed chicken paprika,"poultry	low-fat	low-cal",4 servings,"3 tb matzo meal	1 tb paprika	1 ts dry mustard	1/4 ts salt, if desired	4    boneless chicken breast halves, skinless	4 ts peanut oil	1/3 c  chopped onion	2    garlic cloves, minced	3/4 c  chicken broth	1/4 c  white wine	1 sm tomato, chopped and seeded	chopped fresh parsley",,,,
scallop bubbly bake,"seafood	casseroles	main dish",2 servings,"1 lb scallops	1    can lobster meat, 8oz	1 md onion	3    celery stalks	1 cn mushrooms, sliced, 8oz	1 md green pepper, finely diced	2 tb butter	1 cn cream of mushroom soup, 10oz	1 c  buttered bread crumbs",,,,
scandinavian beef patties beets  cape,meats,4 servings,"1    medium russet potato (about	2 tb heavy cream	1 pn ground cloves	2 ts butter	1    small onion; minced	1 lb ground sirloin	1    egg yolk	1/2 c  finely chopped pickled beets	1 tb capers	1/2 c  flour	1 tb vegetable oil",,,,
searing salsa,sauces,1 servings,"2 ea tomatoes, diced	1 ea green pepper, seeded,diced	1 ea medium onion, diced	1 tb fresh cilantro, minced	3 ea clove garlic, minced	4 ea jalapeno or serrano peppers, eeded and minced	2 ts lime juice	2 ts ground cumin	1 ts dried oregano	1 ts red hot sauce	1/4 ts black pepper	1/4 ts white pepper	1/4 ts salt	1/4 ts dried red pepper flakes	1/4 ts cayenne pepper	2 c  canned crushed tomatoes",,,,
